"wdpaid"|"name"|"v_sqkm"|"r_sqkm"|"f_sqkm"|"p_sqkm"|"fp_sqkm"
555516432|"Plazh Shkorpilovtsi"|"51.2912527674353"|"51.34940784070964"|"0"|"34.277375534954736"|"0"
555516433|"Dolinata na reka Batova"|"184.714386163274"|"185.14506423243535"|"0"|"123.74152098711882"|"0"
555516434|"Galata"|"18.4419195732214"|"18.77787143611335"|"0"|"0.9065904745542998"|"0"
555516435|"Provadiysko - Royaksko plato"|"501.980922810718"|"501.85299500274994"|"0"|"234.56664879874958"|"0"
555516436|"Harsovska reka"|"367.854958294523"|"367.82528972823326"|"0"|"211.49526723918964"|"0"
555516437|"Suha reka"|"625.268995913728"|"623.6764729254758"|"0"|"200.47362118943576"|"0"
555516439|"Kamchia"|"129.29060020682"|"129.75231418140535"|"8.59599825130224"|"72.94178242921619"|"7.7574001276574105"
555516440|"Kotlenska planina"|"691.103208319208"|"691.1075062651174"|"5.46121093179369"|"568.6223663811056"|"5.46121093179369"
555516441|"Zlatni pyasatsi"|"13.7429892401068"|"13.702182516428469"|"0"|"10.9201607363069"|"0"
555516442|"Trite bratya"|"10.2198174471908"|"10.041384490498555"|"0"|"0"|"0"
555516443|"Kraymorska Dobrudzha"|"66.6091663022684"|"65.74129056197236"|"0"|"6.2299355132358105"|"0"
555516444|"Pobitite kamani"|"2.31336843619879"|"1.9498195298988805"|"0"|"0.208987108750343"|"0"
555516445|"Kamchiyska i Emenska planina"|"637.264848290552"|"637.9680207361339"|"0"|"491.52714678020084"|"0"
555516446|"Choklyovo blato"|"2.80269063935298"|"2.822894385727407"|"0"|"0.494021585389614"|"0"
555516447|"Reka Gorna Luda Kamchia"|"22.7684081050417"|"22.856236234154462"|"0"|"10.37958612916255"|"0"
555516448|"Reka Dolna Luda Kamchia"|"24.6265906657464"|"24.441814714166398"|"0"|"6.093497304612868"|"0"
555516449|"Kamenitsa"|"14.5568897512575"|"14.723398182461493"|"0"|"0.277660156125069"|"0"
555516450|"Luda Kamchia"|"61.1092250208232"|"60.682998039693565"|"0"|"53.31634049562642"|"0"
555516451|"Reka Kamchia"|"1.58824390924138"|"1.6065657116637238"|"0"|"0"|"0"
555516452|"Karaagach"|"0.641587287052035"|"0.6368455703597071"|"0"|"0.141521238111973"|"0"
555516453|"Plazh Gradina - Zlatna ribka"|"12.4674964014435"|"12.485484476172681"|"0"|"0"|"0"
555516454|"Rishki prohod"|"118.607739955957"|"118.46909416129229"|"0"|"90.33230388871597"|"0"
555516455|"Aytoska planina"|"294.01831047244"|"294.2530863499662"|"0"|"26.407831646409782"|"0"
555516456|"Ezero Durankulak"|"50.5282748370247"|"50.392623823447906"|"0.621574626859665"|"0.207481935095787"|"0"
555516457|"Sinite kamani"|"122.887568778045"|"122.51068743924196"|"6.809462398400068"|"106.99212845817"|"4.77351126606965"
555516458|"Lozenska planina"|"12.9440866890516"|"12.945517487950116"|"0"|"12.593681370711595"|"0"
555516459|"Vrachanski Balkan"|"359.809182587837"|"359.74525008122015"|"15.050111495707958"|"228.4741470751715"|"11.774927657511201"
555516460|"Belasitsa"|"115.668939105225"|"115.25006999887586"|"13.340728545349837"|"110.0131520430734"|"13.268983049846412"
555516461|"Ludogorie"|"594.939367048642"|"595.3253223126463"|"0"|"463.15766517641777"|"0"
555516462|"Ludogorie - Srebarna"|"52.2796143301087"|"52.10286326424119"|"0"|"3.091888612911222"|"0"
555516463|"Ludogorie - Boblata"|"48.3626921629663"|"48.017096408729074"|"0"|"6.4843806391058"|"0"
555516464|"Ostrovche"|"67.5427967607591"|"67.26041949189974"|"0"|"54.003199200687405"|"0"
555516465|"Ticha"|"27.142373904565"|"27.33972241229727"|"0"|"25.31724266451838"|"0"
555516466|"Boblata"|"32.1935879137176"|"32.24770121611144"|"0"|"24.54724751969338"|"0"
555516467|"Reka Vit"|"57.1720353759282"|"58.14560172438625"|"0"|"4.369449258568998"|"0"
555516468|"Orsoya"|"29.4445064200969"|"29.260235926857238"|"0"|"3.0363251709012973"|"0"
555516469|"Vitata stena"|"26.3059555798079"|"26.585857656200186"|"0"|"11.822477283743858"|"0"
555516470|"Reka Tundzha 1"|"95.0885830879106"|"96.1156601623141"|"0"|"12.036471714803941"|"0"
555516471|"Reka Chaya"|"6.50642368166666"|"6.381968517920008"|"0"|"0"|"0"
555516472|"Reka Tundzha 2"|"59.5262657522952"|"58.67660140961037"|"1.69729263714504"|"23.97528433022382"|"1.69729263714504"
555516473|"Reka Mochuritsa"|"87.0968752749858"|"86.11654398171042"|"0"|"3.65179694386101"|"0"
555516474|"Sredetska reka"|"7.07781196075495"|"6.995394726121658"|"0"|"0.7068479804031854"|"0"
555516475|"Tsibar"|"29.6835728928945"|"29.86789523782946"|"0"|"1.241249044357061"|"0"
555516476|"Tulovo"|"1.61711710016307"|"1.478116518443584"|"0"|"0.633453880055428"|"0"
555516478|"Straldzha"|"8.82001151737098"|"8.720990433778525"|"0"|"0"|"0"
555516479|"Sadievo"|"5.17005276228493"|"4.997943464894769"|"0"|"0.351949859973431"|"0"
555516480|"Bosna"|"162.382621687524"|"162.20433574567488"|"0"|"160.5065956297617"|"0"
555516481|"Tvardishka planina"|"386.748083069936"|"386.6062869833724"|"0.771120244153976"|"333.1786377415743"|"0.771120244153976"
555516482|"Sakar"|"1322.12380039149"|"1321.5788680324886"|"0"|"210.7392164158002"|"0"
555516483|"Tarnovski visochini"|"44.3435839434035"|"44.799800170728645"|"0"|"13.747852175552849"|"0"
555516484|"Dryanovski manastir"|"29.8783056341337"|"30.227889447025294"|"0"|"22.882196740532635"|"0"
555516485|"Emen"|"4.90349566400199"|"4.881352441648004"|"0"|"1.813007642879485"|"0"
555516486|"Zhdreloto na reka Tundzha"|"78.5642933499188"|"78.65089515644623"|"0"|"12.507434575877184"|"0"
555516487|"Derventski vazvishenia 1"|"387.268838917367"|"387.4730529623671"|"0"|"128.05726806310346"|"0"
555516488|"Derventski vazvishenia 2"|"550.343604685492"|"550.6837825024788"|"0"|"239.38952354578583"|"0"
555516489|"Dolna Mesta"|"95.0691722480115"|"94.8349722784314"|"0"|"33.14359976688597"|"0"
555516490|"Ograzhden - Maleshevo"|"273.237924913681"|"273.86894435269636"|"2.217120137424233"|"121.09768925718733"|"2.145610100246193"
555516491|"Fakiyska reka"|"41.0385648035719"|"41.20798120133277"|"0"|"28.988681860400874"|"0"
555516492|"Belenska gora"|"50.41822671614"|"50.64089880507656"|"0"|"37.095569835740285"|"0"
555516493|"Batin"|"26.9248548487275"|"26.68317471838259"|"0"|"7.604372193710085"|"0"
555516494|"Studena reka"|"53.0157993924998"|"52.14288425797109"|"0"|"0.277006050442695"|"0"
555516495|"Obnova - Karaman dol"|"107.508277689041"|"107.59120764647231"|"0"|"3.128218799238679"|"0"
555516496|"Nikopolsko plato"|"185.031768300715"|"184.57617500328948"|"0"|"4.843976996458294"|"0"
555516497|"Besaparski vazvishenia"|"67.4081154908114"|"67.42428298940135"|"0"|"0.141842843958139"|"0"
555516498|"Gradinska gora"|"4.39890259165189"|"4.250156701188086"|"0"|"2.550130096798892"|"0"
555516499|"Yazovir Koprinka"|"8.76335440721262"|"8.57394440822983"|"0"|"0.7730186066958911"|"0"
555516500|"Skalsko"|"21.8933329020985"|"21.679567216380114"|"0"|"8.601406147855045"|"0"
555516501|"Peshtera Mandrata"|"0.0181556176135018"|"0.069826555044651"|"0"|"0.069826555044651"|"0"
555516502|"Peshtera Lyastovitsata"|"0.0051075072643524"|"0"|"0"|"0"|"0"
555516503|"Yazovir Stamboliyski"|"93.5526498341726"|"94.15246711586047"|"0"|"40.06283161691832"|"0"
555516504|"Stara reka"|"1.46158642076206"|"1.1860616811654567"|"0"|"0.5586278426260949"|"0"
555516505|"Zlatarishka reka"|"0.676842253926225"|"0.9777677112665174"|"0"|"0.349447401088476"|"0"
555516506|"Reka Belitsa"|"1.17248905123396"|"1.749692260633469"|"0"|"0.6304836101582055"|"0"
555516507|"Dryanovska reka"|"1.83145968982318"|"2.098890222767351"|"0"|"0.560647352385044"|"0"
555516508|"Merichlerska reka"|"5.09163523363769"|"4.747511472661016"|"0"|"0.28372276170826"|"0"
555516509|"Trilistnik"|"6.169756233792"|"6.156423262434963"|"0"|"1.76893486326218"|"0"
555516510|"Gora Shishmantsi"|"3.74038568500507"|"3.607169363842247"|"0"|"2.82914620386791"|"0"
555516511|"Karshalevo"|"62.9163567859756"|"62.920696065716186"|"0"|"32.90744697374102"|"0"
555516512|"Dolni Koriten"|"4.6056393491562"|"4.511574779757026"|"0"|"0.916377441804409"|"0"
555516513|"Konyavska planina"|"96.5232959674098"|"96.79569968056175"|"0"|"81.25779421699546"|"0"
555516514|"Cherni rid"|"8.57598642838144"|"8.536573503295422"|"0"|"8.536573503295422"|"0"
555516515|"Golak"|"109.222443091913"|"109.0760019435132"|"0"|"85.8155825745149"|"0"
555516516|"Verila"|"64.3357333862613"|"64.37102319773174"|"0"|"61.19419928654243"|"0"
555516517|"Ruy"|"62.2124401500251"|"61.72163009191275"|"0"|"59.61899049899674"|"0"
555516518|"Rebro"|"2.12930629234478"|"2.03527426195812"|"0"|"0.7720254743659489"|"0"
555516519|"Dragoman"|"213.201545503676"|"213.72456404171035"|"0"|"47.227738045164365"|"0"
555516520|"Ostrov"|"39.16383571324"|"39.18969685581801"|"0"|"5.25185416161085"|"0"
555516521|"Karaboaz"|"136.581826604948"|"136.32933685163624"|"0"|"2.90113625181031"|"0"
555516522|"Zlatia"|"31.9115977578219"|"32.401400729506996"|"0"|"0.138140331010342"|"0"
555516523|"Rabrovo"|"9.08790952376175"|"9.073450292707681"|"0"|"7.973706010221244"|"0"
555516524|"Tsar Petrovo"|"19.0464272316964"|"18.92272139694593"|"0"|"14.174767217622254"|"0"
555516525|"Ovchi halmove"|"13.0919878594955"|"13.139454703071117"|"0"|"0"|"0"
555516526|"Kresna - Ilindentsi"|"485.13674195007"|"485.170383017891"|"5.773555174284937"|"289.3826180853962"|"2.1383419435291313"
555516527|"Tsigansko gradishte"|"95.5594964952887"|"94.80852011641508"|"0.21503454031896588"|"90.29369362168723"|"0.21503454031896588"
555516528|"Bebresh"|"68.1610871701318"|"68.07448880182696"|"0"|"53.19028541313409"|"0"
555516529|"Kalimok - Brashlen"|"75.5583635411503"|"75.26544349708414"|"0"|"11.133656915529253"|"0"
555516530|"Shumensko plato"|"44.9420579817492"|"45.31207338768959"|"0.626478133537292"|"39.187578856622224"|"0.626478133537292"
555516531|"Ekokoridor Kamchia - Emine"|"280.77170729344"|"281.4046488270509"|"0"|"237.05531165432643"|"0"
